year,gdp_usd,internet_users_pct,ict_services_exports_pct_service_exports,population,gdp_usd_bn
2000,99484802344.5277,,15.8208955223881,154879127.0,99.48
2001,97145618479.9038,1.31855077925626,15.5853314527504,159270907.0,97.15
2002,97923302809.3537,2.57742673683831,14.8008385744235,163222549.0,97.92
2003,112371913740.823,5.04115812592502,7.58761483497788,167110248.0,112.37
2004,132216048339.413,6.16432098534156,9.86886427944545,171286000.0,132.22
2005,145208562960.767,6.332300186,9.36135371179039,175453212.0,145.21
2006,161871385506.36,6.5,6.99280575539568,179682690.0,161.87
2007,184140869997.46,6.800000191,6.75965665236052,184493231.0,184.14
2008,202203748583.854,7.0,6.51918098376088,189499113.0,202.2
2009,187337783856.466,7.5,11.7765984331564,194376534.0,187.34
2010,196709621849.586,8.0,6.60076045627376,199239047.0,196.71
2011,230586581059.665,8.0,8.63858961802155,203746065.0,230.59
2012,250106966104.704,8.100000381,8.84229717411121,207667125.0,250.11
2013,258657231672.412,9.0,17.4715909090909,211073978.0,258.66
2014,271390474857.632,10.0,13.9418944473096,214264647.0,271.39
2015,299963590534.773,11.0,13.3796845853824,217290883.0,299.96
2016,313630000130.435,12.385446763381,17.2898300348312,220138869.0,313.63
2017,339205534861.1,13.77999973,15.9438977062278,223273967.0,339.21
2018,356128166704.921,15.34000015,18.9958013716755,226928892.0,356.13
2019,320909472770.669,17.070901719916,22.0096590376737,230800899.0,320.91
2020,300425609817.981,18.935,31.8245126639676,235001746.0,300.43
2021,348516647445.148,,37.454042010874,239477801.0,348.52
2022,374890295666.694,,35.3627551456145,243700667.0,374.89
2023,336686348609.266,,36.7022140125819,247504495.0,336.69
2024,371570000121.266,57.253,44.8419776011614,251269164.0,371.57
