ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,year,is_actual,it_exports_mn_usd,fiscal_year,it_exports_yoy_pct,forecast_yoy_pct,period_type
2006-07-01,189.5,50.0,334.9,548.49470494,548.49470494,548.49470494,2006,True,269.0,FY06,,,Historical
2007-07-01,278.7,127.6,433.7,572.1716371122839,572.1716371122839,572.1716371122839,2007,True,227.0,FY07,-15.6,47.1,Historical
2008-07-01,355.6,199.0,510.0,595.913437591889,595.913437591889,595.913437591889,2008,True,269.0,FY08,18.5,27.6,Historical
2009-07-01,335.6,174.5,484.0,619.6980994871334,619.6980994871334,619.6980994871334,2009,True,380.0,FY09,41.3,-5.6,Historical
2010-07-01,387.0,229.0,543.8,643.4827613823779,643.4827613823779,643.4827613823779,2010,True,433.0,FY10,13.9,15.3,Historical
2011-07-01,510.5,367.5,659.6,667.2674232619291,667.2674232619291,667.2674232619291,2011,True,443.0,FY11,2.3,31.9,Historical
2012-07-01,591.9,446.2,741.6,691.1172485986846,691.1172485986846,691.1172485986846,2012,True,460.0,FY12,3.8,15.9,Historical
2013-07-01,640.8,478.0,784.3,714.9019103741806,714.9019103741806,714.9019103741806,2013,True,803.0,FY13,74.6,8.3,Historical
2014-07-01,702.1,555.3,856.5,738.6865721496769,738.6865721496769,738.6865721496769,2014,True,817.0,FY14,1.7,9.6,Historical
2015-07-01,804.5,659.4,960.6,756.9799791849451,756.9799791849451,756.9799791849451,2015,True,821.0,FY15,0.5,14.6,Historical
2016-07-01,863.1,714.4,1019.6,775.3235043704551,775.3235043704551,775.3235043704551,2016,True,789.0,FY16,-3.9,7.3,Historical
2017-07-01,956.7,800.1,1123.8,793.6169106346932,793.6169106346932,793.6169106346932,2017,True,940.0,FY17,19.1,10.8,Historical
2018-07-01,1137.1,986.1,1280.8,924.2662412430741,924.2662412430741,924.2662412430741,2018,True,1067.0,FY18,13.5,18.9,Historical
2019-07-01,1164.1,1015.9,1314.3,1054.9155718514537,1054.9155718514537,1054.9155718514537,2019,True,1192.0,FY19,11.7,2.4,Historical
2020-07-01,1498.7,1351.2,1650.1,1449.8048325728057,1449.8048325728057,1449.8048325728057,2020,True,1440.0,FY20,20.8,28.7,Historical
2021-07-01,2034.1,1876.0,2197.6,1843.6151608878142,1843.6151608878142,1843.6151608878142,2021,True,2108.0,FY21,46.4,35.7,Historical
2022-07-01,2505.5,2358.6,2655.5,2237.4261572704645,2237.4261572704645,2237.4261572704645,2022,True,2619.0,FY22,24.2,23.2,Historical
2023-07-01,2786.9,2625.8,2945.0,2631.237153653114,2631.237153653114,2631.237153653114,2023,True,2596.0,FY23,-0.9,11.2,Historical
2024-07-01,3284.4,3133.9,3440.4,3026.1270842724293,3026.1270842724293,3026.1270842724293,2024,True,3223.0,FY24,24.2,17.9,Historical
2025-07-01,3678.3,3527.4,3837.5,3419.9380806550794,3419.9380806550794,3419.9380806550794,2025,True,3809.0,FY25,18.2,12.0,Historical
2026-07-01,4126.8,3968.6,4280.0,3813.749077037729,3774.054130779577,3850.1410297514844,2026,False,,,,12.2,Forecast
2027-07-01,4578.0,4397.4,4756.8,4207.56007342038,4082.332012821521,4319.066778685588,2027,False,,,,10.9,Forecast
2028-07-01,5033.2,4757.9,5297.5,4602.450004039695,4354.9507564739815,4824.6919344173,2028,False,,,,9.9,Forecast
2029-07-01,5490.3,5102.9,5853.1,4996.261000422346,4625.213334508822,5334.297814738492,2029,False,,,,9.1,Forecast
2030-07-01,5950.6,5410.2,6421.7,5390.071996804996,4864.278775042485,5867.792835785762,2030,False,,,,8.4,Forecast
