ds,trend,trend_lower,trend_upper,year,it_exports_mn_usd
2006-07-01,548.49470494,548.49470494,548.49470494,2006,269.0
2007-07-01,572.1716371122839,572.1716371122839,572.1716371122839,2007,227.0
2008-07-01,595.913437591889,595.913437591889,595.913437591889,2008,269.0
2009-07-01,619.6980994871334,619.6980994871334,619.6980994871334,2009,380.0
2010-07-01,643.4827613823779,643.4827613823779,643.4827613823779,2010,433.0
2011-07-01,667.2674232619291,667.2674232619291,667.2674232619291,2011,443.0
2012-07-01,691.1172485986846,691.1172485986846,691.1172485986846,2012,460.0
2013-07-01,714.9019103741806,714.9019103741806,714.9019103741806,2013,803.0
2014-07-01,738.6865721496769,738.6865721496769,738.6865721496769,2014,817.0
2015-07-01,756.9799791849451,756.9799791849451,756.9799791849451,2015,821.0
2016-07-01,775.3235043704551,775.3235043704551,775.3235043704551,2016,789.0
2017-07-01,793.6169106346932,793.6169106346932,793.6169106346932,2017,940.0
2018-07-01,924.2662412430741,924.2662412430741,924.2662412430741,2018,1067.0
2019-07-01,1054.9155718514537,1054.9155718514537,1054.9155718514537,2019,1192.0
2020-07-01,1449.8048325728057,1449.8048325728057,1449.8048325728057,2020,1440.0
2021-07-01,1843.6151608878142,1843.6151608878142,1843.6151608878142,2021,2108.0
2022-07-01,2237.4261572704645,2237.4261572704645,2237.4261572704645,2022,2619.0
2023-07-01,2631.237153653114,2631.237153653114,2631.237153653114,2023,2596.0
2024-07-01,3026.1270842724293,3026.1270842724293,3026.1270842724293,2024,3223.0
2025-07-01,3419.9380806550794,3419.9380806550794,3419.9380806550794,2025,3809.0
2026-07-01,3813.749077037729,3774.054130779577,3850.1410297514844,2026,
2027-07-01,4207.56007342038,4082.332012821521,4319.066778685588,2027,
2028-07-01,4602.450004039695,4354.9507564739815,4824.6919344173,2028,
2029-07-01,4996.261000422346,4625.213334508822,5334.297814738492,2029,
2030-07-01,5390.071996804996,4864.278775042485,5867.792835785762,2030,
